CMDLINE python julia.py
MEM 0.203125 1453125936.1975
MEM 7.203125 1453125936.3027
MEM 16.667969 1453125936.4045
MEM 28.785156 1453125936.5070
MEM 41.480469 1453125936.6121
MEM 54.171875 1453125936.7160
MEM 67.519531 1453125936.8204
MEM 79.406250 1453125936.9235
MEM 123.328125 1453125937.0240
MEM 125.667969 1453125937.1260
MEM 126.210938 1453125937.2285
MEM 126.496094 1453125937.3295
MEM 126.714844 1453125937.4346
MEM 126.906250 1453125937.5379
MEM 127.093750 1453125937.6431
MEM 127.277344 1453125937.7441
MEM 127.433594 1453125937.8465
MEM 127.585938 1453125937.9516
MEM 127.722656 1453125938.0557
MEM 127.851562 1453125938.1608
MEM 127.980469 1453125938.2609
MEM 128.109375 1453125938.3657
MEM 128.226562 1453125938.4661
MEM 128.335938 1453125938.5688
MEM 128.449219 1453125938.6739
MEM 128.546875 1453125938.7746
MEM 128.652344 1453125938.8775
MEM 128.750000 1453125938.9806
MEM 128.847656 1453125939.0858
MEM 128.949219 1453125939.1863
MEM 129.054688 1453125939.2915
MEM 129.156250 1453125939.3960
MEM 129.253906 1453125939.5011
MEM 129.359375 1453125939.6043
MEM 129.441406 1453125939.7075
MEM 129.542969 1453125939.8126
MEM 129.640625 1453125939.9156
MEM 129.730469 1453125940.0157
MEM 129.828125 1453125940.1159
MEM 129.921875 1453125940.2160
MEM 130.019531 1453125940.3162
MEM 130.136719 1453125940.4213
MEM 130.234375 1453125940.5251
MEM 130.332031 1453125940.6263
MEM 130.437500 1453125940.7313
MEM 130.535156 1453125940.8358
MEM 130.640625 1453125940.9409
MEM 130.750000 1453125941.0460
MEM 130.847656 1453125941.1511
MEM 130.945312 1453125941.2542
MEM 131.039062 1453125941.3593
FUNC __main__.calculate_z_serial_purepython 82.7773 1453125936.9520 137.7617 1453125944.2014
MEM 131.140625 1453125941.4622
MEM 131.238281 1453125941.5663
MEM 131.339844 1453125941.6714
MEM 131.437500 1453125941.7755
MEM 131.535156 1453125941.8806
MEM 131.640625 1453125941.9855
MEM 131.738281 1453125942.0877
MEM 131.835938 1453125942.1928
MEM 131.933594 1453125942.2931
MEM 132.031250 1453125942.3959
MEM 132.140625 1453125942.4986
MEM 132.242188 1453125942.6037
MEM 132.355469 1453125942.7081
MEM 132.484375 1453125942.8132
MEM 132.597656 1453125942.9159
MEM 132.726562 1453125943.0163
MEM 132.871094 1453125943.1214
MEM 133.003906 1453125943.2261
MEM 133.148438 1453125943.3308
MEM 133.308594 1453125943.4351
MEM 133.492188 1453125943.5377
MEM 133.679688 1453125943.6428
MEM 133.878906 1453125943.7449
MEM 134.082031 1453125943.8457
MEM 134.386719 1453125943.9509
MEM 134.941406 1453125944.0542
MEM 137.136719 1453125944.1556
MEM 137.996094 1453125944.2583
MEM 141.652344 1453125944.3635
MEM 146.035156 1453125944.4658
MEM 57.167969 1453125944.5676
